relative_path	basename	top_folder	extension	size_bytes	modified_date	entity_type	disease	geography	method	surveillance_mode	elimination_phase	diagnostic_test	project_link	phd_article_link	relevance_note	status
Health Economics/Costs and Outcomes of Integrated HAT surveillance system using RDTs.pdf	Costs and Outcomes of Integrated HAT surveillance system using RDTs.pdf	Health Economics	pdf	2608495	2023-12-11	Paper	gHAT / HAT									to_triage
Health Economics/Human African trypanosomiasis prevention, treatment and control costs.pdf	Human African trypanosomiasis prevention, treatment and control costs.pdf	Health Economics	pdf	855317	2023-12-11	Paper	gHAT / HAT									to_triage
History/African trypanosomiasis - history of epidemiology.pdf	African trypanosomiasis - history of epidemiology.pdf	History	pdf	379757	2023-11-29	Paper	gHAT / HAT									to_triage
History/Challenges in diagnosing HAT_DRC_Sept 2015_ex.pdf	Challenges in diagnosing HAT_DRC_Sept 2015_ex.pdf	History	pdf	2880021	2024-04-09	Paper	gHAT / HAT									to_triage
History/From Colonial Research Spirit to Global Commitment Bayer and African Sleeping Sickness in the Mirror of History.pdf	From Colonial Research Spirit to Global Commitment Bayer and African Sleeping Sickness in the Mirror of History.pdf	History	pdf	2961876	2024-03-25	Paper	gHAT / HAT									to_triage
History/HAT in health in Central Africa since 1885Chapter 17 is entirely about HAT and provides many interesting old data, I think..pdf	HAT in health in Central Africa since 1885Chapter 17 is entirely about HAT and provides many interesting old data, I think..pdf	History	pdf	15253025	2022-12-13	Paper	gHAT / HAT									to_triage
History/Legacy of colonialism in Africa.pdf	Legacy of colonialism in Africa.pdf	History	pdf	1074061	2024-02-28	Paper	gHAT / HAT									to_triage
History/The rise and fall of sleeping sickness.pdf	The rise and fall of sleeping sickness.pdf	History	pdf	39323	2023-12-17	Paper	gHAT / HAT									to_triage
History/Trypanosomiasis Control DRC 1993 - 2003.pdf	Trypanosomiasis Control DRC 1993 - 2003.pdf	History	pdf	208643	2023-11-11	Paper	gHAT / HAT									to_triage
History/WHO_HTM_NTD_IDM_2013.4_eng.pdf	WHO_HTM_NTD_IDM_2013.4_eng.pdf	History	pdf	4486883	2023-11-19	Paper	gHAT / HAT									to_triage
How to write an effective discussion.pdf	How to write an effective discussion.pdf	How to write an effective discussion.pdf	pdf	21239	2024-06-15	Paper	gHAT / HAT									to_triage
