relative_path	basename	top_folder	extension	size_bytes	modified_date	entity_type	disease	geography	method	surveillance_mode	elimination_phase	diagnostic_test	project_link	phd_article_link	relevance_note	status
Screening & Surveillance/Digitalisation & Quality Assurance/1 Digitalisation TrypElim.pdf	1 Digitalisation TrypElim.pdf	Screening & Surveillance	pdf	2245379	2024-04-04	Paper	gHAT / HAT		quality assurance / digital health				PhD / sleeping-sickness	Article 3: test performance and quality	Supports surveillance quality and digital workflow questions	seeded
Screening & Surveillance/Digitalisation & Quality Assurance/Diagnostics in a digital age - an opportunity to strengthen health systems and improve health outcomes.pdf	Diagnostics in a digital age - an opportunity to strengthen health systems and improve health outcomes.pdf	Screening & Surveillance	pdf	291074	2024-03-31	Paper	gHAT / HAT		quality assurance / digital health				PhD / sleeping-sickness	Article 3: test performance and quality	Supports surveillance quality and digital workflow questions	seeded
Screening & Surveillance/Digitalisation & Quality Assurance/Innovative digital technologies for quality assurance of diagnosis of human African trypanosomiasis.pdf	Innovative digital technologies for quality assurance of diagnosis of human African trypanosomiasis.pdf	Screening & Surveillance	pdf	11046487	2024-03-31	Paper	gHAT / HAT	Africa	quality assurance / digital health				PhD / sleeping-sickness	Article 3: test performance and quality	Supports surveillance quality and digital workflow questions	seeded
Screening & Surveillance/Digitalisation & Quality Assurance/The Trypelim project_ digital tools to help eliminate Sleeping Sickness.pdf	The Trypelim project_ digital tools to help eliminate Sleeping Sickness.pdf	Screening & Surveillance	pdf	44964	2024-04-04	Paper	gHAT / HAT		quality assurance / digital health				PhD / sleeping-sickness	Article 3: test performance and quality	Supports surveillance quality and digital workflow questions	seeded
Screening & Surveillance/Forecasting Human African Trypanosomiasis Prevalences from Population Screening Data Using Continuous Time Models.pdf	Forecasting Human African Trypanosomiasis Prevalences from Population Screening Data Using Continuous Time Models.pdf	Screening & Surveillance	pdf	1266149	2024-01-22	Paper	gHAT / HAT	Africa					PhD / sleeping-sickness	Article 6: sampling and modelling		seeded
Screening & Surveillance/Passive/Criteria for selecting sentinel unit locations in a surveillance system for vector-borne disease - A decision tool.pdf	Criteria for selecting sentinel unit locations in a surveillance system for vector-borne disease - A decision tool.pdf	Screening & Surveillance	pdf	1837919	2023-11-30	Paper	gHAT / HAT			Passive			PhD / sleeping-sickness	Article 5: facility targeting		seeded
Screening & Surveillance/Passive/Development and implementation of a strategy for intensified screening for gambiense human African trypanosomiasis in Kongo Central province, DRC.pdf	Development and implementation of a strategy for intensified screening for gambiense human African trypanosomiasis in Kongo Central province, DRC.pdf	Screening & Surveillance	pdf	3830058	2025-02-06	Paper	gHAT / HAT	DRC		Passive			PhD / sleeping-sickness	Article 2/4: passive screening system and integration		seeded
Screening & Surveillance/Passive/Enhanced passive screening and diagnosis for gambiense human African trypanosomiasis in Uganda.pdf	Enhanced passive screening and diagnosis for gambiense human African trypanosomiasis in Uganda.pdf	Screening & Surveillance	pdf	7252306	2023-10-19	Paper	gHAT / HAT	Uganda	implementation research	Passive			PhD / sleeping-sickness	Article 2/4: passive screening system and integration	High relevance to passive surveillance redesign	seeded
Screening & Surveillance/Passive/Human african trypanosomiasis diagnosis in first-line health services of endemic countries, a systematic review.pdf	Human african trypanosomiasis diagnosis in first-line health services of endemic countries, a systematic review.pdf	Screening & Surveillance	pdf	311118	2025-02-14	Paper	gHAT / HAT		implementation research	Passive			PhD / sleeping-sickness	Article 2/4: passive screening system and integration	High relevance to passive surveillance redesign	seeded
Screening & Surveillance/Passive/Integration of Human African Trypanosomiasis Control Activities into Primary Health Services in the Democratic Republic of the Congo - AQualitative Study of Stakeholder Perceptions.pdf	Integration of Human African Trypanosomiasis Control Activities into Primary Health Services in the Democratic Republic of the Congo - AQualitative Study of Stakeholder Perceptions.pdf	Screening & Surveillance	pdf	246434	2025-03-24	Paper	gHAT / HAT	DRC	qualitative / implementation research	Passive			PhD / sleeping-sickness	Article 2/4: passive screening system and integration	High relevance to passive surveillance redesign	seeded
