relative_path	basename	top_folder	extension	size_bytes	modified_date	entity_type	disease	geography	method	surveillance_mode	elimination_phase	diagnostic_test	project_link	phd_article_link	relevance_note	status
Diagnostics/WHO_TTP_Wider treatment.pdf	WHO_TTP_Wider treatment.pdf	Diagnostics	pdf	360657	2026-03-19	Paper	gHAT / HAT			Screening / diagnosis			PhD / sleeping-sickness			to_triage
Elimination/2022 alvares elimination HAT possible.pdf	2022 alvares elimination HAT possible.pdf	Elimination	pdf	2634127	2024-09-06	Paper	gHAT / HAT				Elimination		PhD / sleeping-sickness			to_triage
Elimination/BumpyRoadToElimination.pdf	BumpyRoadToElimination.pdf	Elimination	pdf	722433	2022-12-06	Paper	gHAT / HAT				Elimination		PhD / sleeping-sickness			to_triage
Elimination/Criteria and procedures for the verification of elimination of transmission of t.b. gambiense to the human population in a given country.pdf	Criteria and procedures for the verification of elimination of transmission of t.b. gambiense to the human population in a given country.pdf	Elimination	pdf	1055405	2024-05-17	Paper	gHAT / HAT				Elimination		PhD / sleeping-sickness			to_triage
Elimination/Human_African_trypanosomiasis_cases_diagnosed_in_n.pdf	Human_African_trypanosomiasis_cases_diagnosed_in_n.pdf	Elimination	pdf	1880641	2024-03-25	Paper	gHAT / HAT	Africa			Elimination		PhD / sleeping-sickness			to_triage
Elimination/JVectorBorneDis572105-4496287_122922.pdf	JVectorBorneDis572105-4496287_122922.pdf	Elimination	pdf	1288233	2024-05-16	Paper	gHAT / HAT				Elimination		PhD / sleeping-sickness			to_triage
Elimination/The challenge of serodiagnosis of sleeping sickness in the context of elimination.pdf	The challenge of serodiagnosis of sleeping sickness in the context of elimination.pdf	Elimination	pdf	38059	2024-03-25	Paper	gHAT / HAT				Elimination		PhD / sleeping-sickness			to_triage
Elimination/The elimination of Trypanosoma brucei gambiense - Challenges of reservoir hosts and transmission cycles	The elimination of Trypanosoma brucei gambiense - Challenges of reservoir hosts and transmission cycles	Elimination		670953	2024-01-09	Paper	gHAT / HAT				Elimination		PhD / sleeping-sickness			to_triage
Elimination/The_elimination_of_human_African_trypanosomiasis_A.pdf	The_elimination_of_human_African_trypanosomiasis_A.pdf	Elimination	pdf	2665042	2024-03-25	Paper	gHAT / HAT	Africa			Elimination		PhD / sleeping-sickness			to_triage
Elimination/Towards the sustainable elimination of gambiense human African trypanosomiasis in Côte d'Ivoire using an integrated approach.pdf	Towards the sustainable elimination of gambiense human African trypanosomiasis in Côte d'Ivoire using an integrated approach.pdf	Elimination	pdf	2758999	2023-11-13	Paper	gHAT / HAT	Cote dIvoire			Elimination		PhD / sleeping-sickness			to_triage
Epidemiology/African trypanosomiasis.pdf	African trypanosomiasis.pdf	Epidemiology	pdf	379756	2023-11-30	Paper	gHAT / HAT	Africa					PhD / sleeping-sickness			to_triage
Epidemiology/Do Cryptic Reservoirs Threaten.pdf	Do Cryptic Reservoirs Threaten.pdf	Epidemiology	pdf	2003735	2023-11-13	Paper	gHAT / HAT						PhD / sleeping-sickness			to_triage
Epidemiology/DOMESTIC ANIMALS AS POTENTIAL RESERVOIR HOSTS.pdf	DOMESTIC ANIMALS AS POTENTIAL RESERVOIR HOSTS.pdf	Epidemiology	pdf	197420	2024-05-27	Paper	gHAT / HAT						PhD / sleeping-sickness			to_triage
